stage,Epithelial,Germ,Immune,Neuron,Other
24hpf,0,0,0,1,1
72hpf,0,0,0.28,2.25,0
21Day,0,0,1.85,5.92,0
3Month,0.21,0.21,0.31,0,0
22Month,0,0,0.27,0,0.14
