stage,Epithelial,Immune,Muscle,Neuron,Secretory,Stromal
24hpf,0,0,0,1,1,0
72hpf,0,0,0.56,0,0,0.56
21Day,0,0,0,0,0.37,1.11
3Month,0.94,0,0,0,0.21,0.1
22Month,1.09,0.27,0,0.27,0,0
