stage,Endothelial,Epithelial,Erythroid,Immune,Muscle,Neuron,Stromal
24hpf,0,2,0,0,0,11,0
72hpf,0,0.85,0.28,0,0.56,3.66,0.28
21Day,0.37,2.22,0,0.37,0.37,2.59,2.22
22Month,0,0.27,0,0,0,0,0
