stage,Epithelial,Erythroid,Immune,Muscle,Secretory,Stromal
21Day,0.74,0,0,0,0,0
3Month,5.2,0.1,0,0.42,0.1,0.1
22Month,1.5,0,0.14,0,0,0.14
