stage,Endothelial,Epithelial,Germ,Immune,Muscle,Neuron,Other,Secretory,Stromal
24hpf,3,13,0,1,3,104,0,0,16
72hpf,0.56,3.38,0,0,0,14.37,0.85,0.28,3.38
21Day,0,0.37,0,0,0.37,2.59,0,0,1.85
3Month,0,2.5,2.5,0.31,0.1,0.1,0,0,0.31
22Month,0,0.82,0.27,0.14,0,0,0,0,0
