stage,Epithelial,Erythroid,Germ,Immune,Neuron,Stromal
72hpf,0,0,0,0,0.85,0
21Day,0,0,0,0,0.37,0
3Month,0.52,0.1,0.1,0.1,0,0.1
22Month,1.64,0,0,0.27,0.14,0.14
