stage,Endothelial,Epithelial,Erythroid,Immune,Muscle,Neuron,Other,Secretory,Stromal
24hpf,0,0,0,1,0,1,0,0,0
72hpf,0,0,0,0,0,1.97,0,0,0.56
21Day,0,2.59,0.74,0.37,0.74,1.11,0,1.11,4.81
3Month,0.31,2.29,0,0.21,0.31,0,0,0,0.21
22Month,0.14,14.21,0.27,2.05,0.14,0.27,2.6,0.41,0.96
