stage,Epithelial,Germ,Neuron,Secretory,Stromal
24hpf,0,0,3,0,2
72hpf,0,0,1.13,0,4.79
21Day,1.11,0,1.11,0.37,16.65
3Month,0.73,0.62,0,0,0.62
22Month,1.5,0,0,0,0.14
