stage,Epithelial,Erythroid,Germ,Immune,Neuron,Other,Stromal
24hpf,0,0,0,1,1,0,0
21Day,0.74,0,0,0,0.37,0,0
3Month,1.35,0.1,0,0.83,0,0,0
22Month,1.64,0,0.27,0.82,0,0.14,0.14
