stage,Endothelial,Epithelial,Immune,Neuron,Other,Secretory,Stromal
24hpf,0,0,0,2,0,0,3
72hpf,0.28,0.56,0,0,0,0,0
21Day,0,1.48,0,1.11,0,0.37,0.37
22Month,0.41,1.37,0.41,0,0.68,0,0.82
