stage,Epithelial,Erythroid,Immune,Neuron,Secretory
72hpf,0,0,0.28,1.97,0.28
21Day,0,0.37,0,0.74,0
3Month,0.21,0,0,0,0
22Month,0.41,0,0,0,0
