stage,Epithelial,Germ,Immune,Neuron,Secretory
24hpf,0,0,0,5,0
21Day,0,0,1.85,1.11,0
3Month,0.42,0,3.64,0,0
22Month,2.46,0.68,1.23,0,0.14
