stage,Endothelial,Epithelial,Germ,Muscle,Neuron,Secretory,Stromal
24hpf,1,12,0,5,83,0,13
72hpf,0,0,0,0.28,4.79,0,0.56
21Day,0,0.37,0.37,0,3.33,0.37,1.48
3Month,0,0.1,0.31,0,0,0.31,0
