stage,Endothelial,Epithelial,Germ,Immune,Muscle,Other,Secretory,Stromal
72hpf,0,0.28,0,0,0,0,0,0
21Day,0.37,5.55,0,0,0,0,0,0
3Month,0.21,7.07,1.46,0.62,0.1,0,0.21,0.52
22Month,0.27,10.66,0,0.27,0.14,0.27,0,0.14
