stage,Epithelial,Erythroid,Immune,Muscle,Neuron,Stromal
24hpf,1,0,0,0,1,0
72hpf,0,0,0,0,0,0.56
21Day,0.37,0.37,0.37,0,0,0
3Month,0.52,0,0.21,0.1,0,0
22Month,0.41,0,0,0,0.14,0.27
