stage,Endothelial,Epithelial,Erythroid,Germ,Immune,Muscle,Neuron,Secretory,Stromal
24hpf,1,0,0,0,1,0,5,0,0
72hpf,0,0.28,0,0,0,0.28,4.23,0,0.28
21Day,0,0.37,1.48,0,0,0,0.74,0.37,0
3Month,0.1,1.98,0,1.77,0.21,0.1,0.21,0.1,0.21
22Month,0,1.37,0,0.14,0.14,0,0,0,0.14
