stage,Epithelial,Erythroid,Germ,Immune,Other,Stromal
24hpf,1,0,0,1,0,0
72hpf,0.56,0,0,0,0,0
21Day,0.74,0,0,2.59,0,0
3Month,1.04,0,0.1,3.22,0,0
22Month,1.5,0.14,0,1.09,0.27,0.14
