stage,Epithelial,Immune,Muscle,Neuron,Other
72hpf,0,0,0.28,0.85,0
21Day,0,0,0.37,2.59,0
3Month,0.1,0.1,0,0,0
22Month,0.82,0,0,0.14,0.14
