stage,Endothelial,Epithelial,Erythroid,Immune,Neuron
24hpf,0,0,0,0,1
72hpf,0,1.13,0.28,0,0.28
3Month,0,0.21,0,0.21,0
22Month,0.14,4.37,0,0,0
