stage,Epithelial,Erythroid,Germ,Immune,Muscle,Neuron
24hpf,1,0,0,0,0,1
72hpf,0.28,0,0,0,0,1.41
21Day,0.37,0.37,0,0.37,0,3.33
3Month,2.08,0,0.31,0.21,0.1,0.1
22Month,0.96,0,0,0,0,0
