stage,Endothelial,Epithelial,Erythroid,Immune,Neuron,Secretory,Stromal
21Day,0,0.74,0,0,0.37,0,0
3Month,0,0.42,0,5.3,0,0.1,0
22Month,0.14,1.23,0.14,3.69,0.27,0.14,0.27
