stage,Epithelial,Erythroid,Immune,Muscle,Neuron,Secretory,Stromal
24hpf,0,0,0,0,1,1,0
72hpf,0.28,0.28,0.28,0,11.56,0.28,0.56
21Day,0.37,0.37,0.37,0.37,12.95,0.74,0.37
