stage,Epithelial,Germ,Immune,Muscle,Neuron,Secretory
24hpf,0,0,0,0,1,0
72hpf,0,0,0,0,0.56,0
21Day,0,0,0.37,0,0.37,0.37
3Month,1.25,4.47,0.1,0.1,0.1,0
