stage,Epithelial,Germ,Neuron,Secretory,Stromal
24hpf,0,0,1,0,0
72hpf,0,0,0.56,0.28,0
21Day,0.37,0,0,0,2.59
3Month,0.1,0.1,0,0,0.1
22Month,0,0.27,0,0,0
