stage,Epithelial,Erythroid,Germ,Neuron,Stromal
72hpf,0,0.28,0,0.56,0.85
21Day,0,0,0,1.11,0
3Month,0.1,0,0.1,0.1,0
22Month,0.68,0,0,0,0
