stage,Epithelial,Erythroid,Germ,Neuron,Secretory
24hpf,0,0,0,1,0
72hpf,0,0.28,0,2.25,0
21Day,0,0,0,1.11,0
3Month,0,0,0.21,0,0.1
22Month,0.14,0,0.14,0,0
