stage,Endothelial,Epithelial,Erythroid,Germ,Immune,Neuron,Other,Stromal
24hpf,0,1,0,0,0,1,0,0
72hpf,0,0.85,0,0,0,1.97,0,0.28
21Day,0.37,0.37,0,0,0,0,0,0.37
3Month,0,0.52,0,1.46,0.1,0.1,0.1,0.21
22Month,0,1.5,0.14,0.41,0.27,0,0.27,0.27
