stage,Epithelial,Erythroid,Germ,Immune,Muscle,Neuron,Other,Stromal
24hpf,1,0,0,0,0,0,0,0
72hpf,0.85,0,0,0,0,0.56,0,0.85
21Day,0.37,0,0,0,0.74,0,0,0.74
3Month,3.22,0.21,0.1,0.73,0.1,0,0.1,0.1
22Month,0.41,0,0,0,0,0,0,0
