stage,Endothelial,Epithelial,Germ,Immune,Muscle,Stromal
72hpf,0.28,0.28,0,0,1.97,0
21Day,0,0,0,0,2.59,0
3Month,0,0.21,0.1,0,0,0
22Month,0,1.37,0,0.27,0.14,0.14
