stage,Epithelial,Erythroid,Germ,Immune,Muscle,Neuron
24hpf,1,0,0,0,0,1
72hpf,1.13,0,0.28,0,0,0
21Day,4.07,0.37,0,0,0.37,0.74
3Month,1.14,0,0.42,0.21,0,0.1
22Month,0.27,0,0.14,0,0,0
