stage,Epithelial,Erythroid,Immune,Neuron,Other,Secretory,Stromal
72hpf,0.28,0,0,4.79,0,0.28,0.28
21Day,0.37,0.74,0,4.81,0,0,1.48
3Month,0.21,0,0.31,0.1,0,0,0
22Month,0.27,0,0.27,0,0.27,0,0
