stage,Epithelial,Erythroid,Germ,Muscle,Neuron,Secretory,Stromal
24hpf,0,0,0,0,2,0,0
72hpf,0.28,0.28,0,0.28,3.1,0,0.28
21Day,0.74,0,0,0,6.66,0,0
3Month,0.21,0,0,0,0,0.1,0
22Month,1.09,0,0.27,0,0,0,0.14
