stage,Endothelial,Epithelial,Germ,Muscle,Neuron,Secretory,Stromal
24hpf,1,1,0,2,1,0,1
72hpf,0,0.56,0,0,1.41,0,0.85
21Day,0,0.74,0,0.37,0,0,1.85
3Month,0,0.83,0.31,0.1,0.1,0.1,0.1
22Month,0,1.23,0,0,0,0,0
