stage,Endothelial,Epithelial,Germ,Immune,Other,Stromal
21Day,0,1.48,0,0,0,0.37
3Month,0,8.43,0.1,0.31,0,0.21
22Month,0.14,8.47,0,0.68,0.14,0.41
