stage,Epithelial,Germ,Immune,Muscle,Neuron,Stromal
24hpf,0,0,0,1,2,0
72hpf,0,0,0,0,5.36,0.56
21Day,0,0.37,0,0.37,3.7,0
3Month,0,0.21,0,0,0,0
22Month,1.23,0.14,0.27,0,0.14,0.27
