stage,Endothelial,Epithelial,Erythroid,Immune,Other,Secretory,Stromal
21Day,0,0.37,0,0,0,0,0
3Month,0.31,4.47,0.1,0.73,0,0.1,0.1
22Month,0.14,5.19,0,0.96,0.14,0,0
