stage,Epithelial,Germ,Neuron,Other,Secretory,Stromal
24hpf,7,0,3,2,0,0
72hpf,7.33,0,6.48,0,0,0
21Day,7.03,0,12.21,0,0.37,0.74
3Month,0.1,0.1,0,0,0,0
22Month,3.42,0,0,0.55,0,0
