stage,Endothelial,Epithelial,Germ,Immune,Muscle,Other,Secretory,Stromal
21Day,0,0,0,0,0,0,0,0.37
3Month,0.1,0.21,2.08,0,0,0,0,0
22Month,0.82,7.24,0.27,1.37,0.27,0.68,0.27,0.27
