stage,Epithelial,Germ,Muscle,Neuron,Secretory
24hpf,0,0,0,2,0
72hpf,0,0,0.56,0.56,0
21Day,0,1.11,0,0.37,0.37
3Month,0.52,0.73,0,0,0
22Month,0.14,0.68,0,0,0
