stage,Epithelial,Germ,Immune,Neuron,Stromal
24hpf,1,0,0,1,0
72hpf,0,0,0,0.28,0
21Day,1.11,0,0.37,0,0
3Month,1.04,0.1,0.83,0.1,0.1
22Month,0.41,0,0.41,0,0
