stage,Epithelial,Immune,Neuron,Other,Stromal
24hpf,1,1,0,0,0
72hpf,0.28,0,1.41,0,0
21Day,0.37,0,5.55,0,0.37
3Month,0,0.1,0,0,0.1
22Month,0.27,0,0,0.14,0
