stage,Epithelial,Erythroid,Germ,Immune,Neuron,Other
72hpf,0,0,0,0,1.13,0
21Day,0,0,0,0,0.37,0
3Month,2.5,0.1,0.1,0,0,0
22Month,0,0,0,0.14,0,0.68
