stage,Endothelial,Epithelial,Erythroid,Immune,Neuron,Secretory
72hpf,0,0,0.28,0,3.95,0
21Day,0,0.37,0,0.37,3.7,0.37
3Month,0.1,0.1,0,0.1,0,0
