stage,Endothelial,Epithelial,Muscle,Neuron,Secretory,Stromal
24hpf,0,1,0,23,0,1
72hpf,0.56,0.56,0.56,12.4,0.28,1.13
21Day,0,1.48,0,1.85,0,0.74
