stage,Endothelial,Epithelial,Erythroid,Immune,Neuron,Other,Stromal
24hpf,0,0,0,0,1,0,0
3Month,0,0.31,0,0,0,0,0
22Month,0.41,5.47,0.14,0.41,0.55,0.14,0.82
