stage,Endothelial,Epithelial,Muscle,Neuron,Stromal
24hpf,0,1,0,7,0
72hpf,0.85,0.85,0.28,2.54,0.28
21Day,0.37,0,0,0.37,0
3Month,0,0.62,0.21,0,0
22Month,0,0.27,0,0,0
