stage,Epithelial,Germ,Immune,Neuron,Other,Secretory,Stromal
72hpf,0,0,0,1.13,0,0,0
21Day,0.37,0,0,11.1,0,0,0
3Month,0.52,0.62,0.1,0,0,0.1,0.1
22Month,1.23,0,0,0,0.14,0,0
