stage,Endothelial,Epithelial,Germ,Immune,Neuron,Stromal
72hpf,0,0.56,0,0,2.82,0
21Day,0,0,0,0,1.85,0
3Month,0,0.83,0.21,0.21,0,0
22Month,0.14,3.55,0.14,0.14,0,0.14
