stage,Endothelial,Epithelial,Erythroid,Immune,Muscle,Neuron,Other,Secretory,Stromal
24hpf,0,0,0,0,0,2,0,0,0
72hpf,0,1.69,0.28,0.28,0,0.56,0.28,0,0.56
21Day,0,0.37,0.74,1.85,0,0.37,0,0,0.74
3Month,0,0.42,0.1,0.73,0.21,0,0,0.1,0
22Month,0.14,1.23,0.14,0.55,0,0,0,0,0.14
