stage,Epithelial,Germ,Immune,Neuron,Secretory
24hpf,2,0,0,0,0
72hpf,1.41,0,0,0.85,0
21Day,0.37,0,0,0,0
3Month,0.52,0.1,0.1,0,0.1
22Month,0.96,0.14,0.14,0,0
