stage,Endothelial,Epithelial,Immune,Muscle,Neuron,Secretory
72hpf,0,0.85,0.56,0,5.07,0
21Day,0,0,0,0,0.74,0.74
3Month,0.1,0.52,0.21,0.1,1.14,0
22Month,0,0.68,0.27,0,0.14,0
