stage,Endothelial,Epithelial,Erythroid,Germ,Neuron,Secretory,Stromal
24hpf,0,0,0,0,1,0,1
72hpf,0,0,0,0,0.85,0,0
21Day,0,0,0,0,0.37,0,0
3Month,0,0.21,0.1,0,0,0,0
22Month,0.14,0.68,0,0.14,0,0.14,0.14
