stage,Endothelial,Epithelial,Erythroid,Immune,Neuron,Stromal
24hpf,0,0,0,0,1,1
72hpf,0.28,0.28,0,0,1.13,0.56
21Day,0.37,1.48,0.74,1.11,0,0.37
3Month,0,0.42,0,0.1,0,0.1
