stage,Epithelial,Erythroid,Muscle,Neuron,Secretory,Stromal
24hpf,0,0,0,0,1,0
72hpf,1.13,0,0.85,3.38,0.28,1.97
21Day,0.37,0.37,0,3.7,0.37,0.74
22Month,0.27,0,0,0,0,0
