stage,Endothelial,Epithelial,Germ,Immune,Muscle,Other,Stromal
72hpf,0,1.13,0,0,0,0,0
21Day,0,0.74,0,8.88,0,0,0
3Month,0,4.99,0.1,2.81,0,0,0
22Month,0.14,19.13,0.27,0.96,0.14,0.41,0.14
