stage,Endothelial,Epithelial,Germ,Immune,Muscle,Stromal
24hpf,0,0,0,1,0,0
72hpf,0.28,0,0,0.28,0,0
21Day,0,0,0,0,0,0.74
3Month,0,0.62,0.31,0.52,0.31,0.21
22Month,0,0.27,0,0,0,0
