stage,Epithelial,Erythroid,Germ,Immune,Muscle,Neuron
24hpf,0,0,0,0,0,1
72hpf,0,0,0,0,0.56,0
21Day,0,0,0,0,0.37,0
3Month,0,0.1,0.1,0,0,0
22Month,0.27,0,0,0.14,0,0
