stage,Endothelial,Epithelial,Immune,Muscle,Neuron,Other,Stromal
24hpf,0,0,0,0,1,0,0
72hpf,0.28,0.28,0,0,0.28,0,0.28
21Day,0.37,1.11,0,0,0.37,0,0.37
3Month,2.39,4.78,0.31,0.1,0.1,0,0.52
22Month,0.82,1.23,0.27,0,0,0.14,0
