stage,Epithelial,Erythroid,Germ,Immune,Muscle,Secretory,Stromal
21Day,0.37,0,0,0,0,0,0
3Month,4.26,0.21,0.21,0.31,0.52,0.31,0.21
22Month,2.73,0,0,0.14,0,0,0
