stage,Epithelial,Erythroid,Germ,Neuron,Stromal
24hpf,1,0,0,3,0
72hpf,0,0,0,0.56,0.28
21Day,0,0.37,0,0.74,0
3Month,0,0,0.21,0,0
22Month,0,0,0.41,0,0
