stage,Epithelial,Erythroid,Germ,Neuron,Secretory,Stromal
72hpf,0.28,0,0,0,0,0.28
21Day,3.7,0,0,0.37,0,0
3Month,4.26,0.1,0.1,0.1,0.1,0.1
