stage,Endothelial,Epithelial,Germ,Immune,Neuron,Stromal
72hpf,0,0,0,0,0.28,0
21Day,0,0,0,0,0.37,1.11
3Month,0,1.35,0.73,0.31,0.1,0
22Month,0.14,0.96,0.14,0.68,0,0.14
