stage,Epithelial,Germ,Immune,Neuron,Secretory,Stromal
24hpf,2,0,0,4,0,0
72hpf,0,0,0,0.56,0,0.28
21Day,0.37,0,0,0.37,0,0
3Month,0.94,0.73,0.42,0,0.21,0.31
22Month,1.09,0.14,0.27,0.14,0,0
