stage,Epithelial,Erythroid,Germ,Immune,Muscle,Neuron,Stromal
24hpf,11,0,0,1,0,2,0
72hpf,12.4,0,0,0,0,1.13,0.28
21Day,15.91,0,0,0.74,0,2.96,0.74
3Month,10.92,0.1,0.21,0.73,0.1,0,0
22Month,1.23,0,0,0.14,0.14,0,0
